Autor_Tema_Publicação;Citação
A_Cadeira_de_Prata;Flutuar na respiração do Leão era uma delícia. Podia deslizar de frente ou de costas, revirar-se à vontade, como se fosse dentro d’água. Não havia vento e o ar era cálido. Sem barulho e sem turbulência...
A_Cadeira_de_Prata;Eustáquio tinha razão quando disse que Jill (não sei se as meninas em geral) não era muito entendida em pontos cardeais. Se o fosse, ao sentir o sol nos olhos deveria saber que viajava na direção oeste.
A_Cadeira_de_Prata;"O que fazia Eustáquio parecer tão encardido e desalinhado (e Jill também, caso se visse no espelho) era o esplendor do ambiente. De uma brecha da montanha, a luz do sol poente jorrava sobre a relva lisa. Do outro lado da relva, com seus cata-ventos cintilando, erguia-se um castelo de numerosas torres, o mais belo que Jill já havia visto. Perto ficava um cais de mármore branco; amarrado a este, um navio alto, com o castelo de proa e a popa empinados, todo dourado e carmesim, com uma grande bandeira no mastro central e flâmulas no tombadilho; escudos prateados enfileiravam-se no cais..."
A_Cadeira_de_Prata;Jill: Quem é ele?
A_Cadeira_de_Prata;Jill: Você come meninas?
A_Família;Sou príncipe do gueto só quem é desce e sobe a ladeira sou príncipe do gueto e meu castelo é de madeira, sou príncipe do gueto só quem é desce e sobe a ladeira sou príncipe do gueto e meu castelo é de madeira.
A_Gaia_Ciência;Por que a natureza foi tão avarenta a ponto de recusar aos humanos o dom de brilhar mais ou menos conforme a intensidade de sua luz interior? Por que os grandes homens não possuem assim como o Sol, tanto na sua alvorada como no seu ocaso, uma tão bela visibilidade? Quantos equívocos desapareceriam assim da vida social!
A_Gaia_Ciência;Éramos amigos e agora somos estranhos um ao outro. Mas não importa que assim o seja: não procuremos escondê-lo ou calá-lo como se isso nos desse razão para nos envergonhar. Somos dois navios cada um dos quais com o seu objetivo e a sua rota particular.
A_Gaia_Ciência;Temo que os bichos considerem o homem como um semelhante que se privou da razão animal sadia, como um animal no delírio, que ri e que chora, como um animal infeliz.
A_Gaia_Ciência;A vida mais doce é não pensar em nada.
A_Gaia_Ciência;Abandono muitas coisas, / Deixo-as correr ao acaso, / E por isso dizeis que sou desdenhoso. / Quando se bebe em copos muito cheios / Deixa-se cair muita bebida, / Nem por isso continueis a considerar o vinho pior.
A_Gaia_Ciência;Áspero e suave, grosseiro e fino, / Familiar e estranho, impuro e puro, / Lugar de encontro dos loucos e dos sábios. / Tudo isso sou, tudo isso quero ser, / Ao mesmo tempo pomba, serpente e porco.
A_Gaia_Ciência;É necessária a ferrugem: não basta ser afiado! Senão dizem sempre de ti: 'É muito novo!'.
A_Gaia_Ciência;Não suporto almas estreitas: não têm nada de bom, tampouco nada de mau.
A_Gaia_Ciência;Não te enchas de ar: a menor picadela te esvaziaria.
A_Gaia_Ciência;Odeio seguir alguém, como também conduzir. / Obedecer? Não! E governar, nunca! / Quem não se mete medo não consegue metê-lo a ninguém, / Somente aquele que o inspira é capaz de comandar. / Já detesto comandar a mim mesmo! / Gosto, como os animais, das florestas e dos mares, / De me perder durante um tempo, / Permanecer a sonhar num recanto encantador, E forçar-me a regressar de longe ao meu lar, / Atrair-me a mim próprio... de volta para mim.
A_Gaia_Ciência;O homem louco se lançou para o meio deles e trespassou-os com seu olhar: Para onde foi Deus?, gritou ele, já lhes direi! Nós matámo-lo — vocês e eu. Somos todos seus assassinos! Mas como fizemos isso? Como conseguimos beber inteiramente o mar? Quem nos deu a esponja para apagar o horizonte? Que fizemos nós, ao desatar a terra do seu sol? Para onde se move ela agora? Para onde nos movemos nós? Para longe de todos os sóis? Não caímos continuamente? Para trás para os lados, para a frente, em todas as direções? Existe ainda 'em cima' e 'embaixo'? Não vagamos como que através de um nada infinito? Não sentimos anoitecer eternamente? Não temos de acender lanternas de manhã? Não ouvimos o barulho dos coveiros a enterrar Deus? Não sentimos o cheiro da putrefação divina? — também os deuses apodrecem! Deus está morto! Deus continua morto! E nós matámo-los! Como nos consolar, nós assassinos entre os assassinos? O mais forte e mais sagrado que o mundo até então possuía sangrou inteiro sob os nossos punhais — quem nos limpará este sangue? Com que água poderíamos nos lavar? A grandeza desse acto não é demasiado grande para nós? Não deveríamos nós mesmos nos tornar deuses, para ao menos parecer dignos dele? Nunca houve um acto maior — e quem vier depois de nós pertencerá, por causa desse acto, a uma história mais elevada que toda a história até então!
A_Gaia_Ciência;É à glória que aspiras? Nesse caso consideres esta lição: renúncia a tempo e espontaneamente à honra.
A_Gaia_Ciência;"Siga as tuas melhores ou piores inclinações e, antes de mais nada, encaminha-te para a tua perdição; em ambos os casos favorecerás, provavelmente, de um maneira ou de outra, o progresso da humanidade."
A_Gaia_Ciência;Deus está morto.
A_Ilha;Essa gente se limita a deixar que os infortunados neuróticos chafurdem no velho hábito de nunca viverem inteiramente o presente.
A_Ilha;E a idéia que fazem do que seja normal! Acredite se quiser, mas no conceito deles um ser humano normal é aquele que é capaz de ter um orgasmo e de se ajustar à sociedade!
A_Ilha;Procedi muito mal perdendo a cabeça por uma pessoa a quem realmente não amava e ferindo a quem amava. Por que somos tão tolos?
A_Ilha;Mas uma espécie de amor não exclui a outra.
A_Ilha;Um perfeito estranho que se torna a outra metade do nosso ser e do nosso 'não-ser'.
A_Ilha;Essas são as pessoas que governam o mundo. Dois bilhões e novecentos milhões de seres humanos estão à mercê de um punhado de políticos, uns poucos milhares de magnatas e generais e agiotas.
A_Ilha;O 'eu' que penso ser e o 'eu' que realmente sou. Em outros termos, o sofrimento e o fim do sofrimento.
A_Ilha;Tem-se liberdade, é verdade, mas a espécie de liberdade que se tem dentro de uma cabina telefônica.
A_Ilha;Não seria direito que tivéssemos o poder de afastar todo o sofrimento de uma perda. Se conseguíssemos isso, seríamos menos que seres humanos.
A_Ilha;Você pode imaginar o que é uma pessoa sentir que nada é completamente real, inclusive ela mesma?
A_Ilha;Porém, quando se é um viciado, tem-se que tomar a droga, mesmo sabendo de antemão que ela irá destruí-lo.
A_Ilha;Pelo fato de ter sempre o mesmo nome, os mesmos olhos e o mesmo nariz, não quer dizer que eu seja sempre a mesma mulher.
A_Ilha;Define-se como 'fé perfeita' algo que traz uma completa paz de espírito. Mas a paz de espírito integral é coisa que praticamente ninguém possui e, sendo assim, a fé perfeita não existe. Consequentemente, todos nós estamos de antemão condenados à punição eterna. Quod erat demonstrandum.
A_Ilha;A História é um documento que registra as coisas que os seres humanos foram impelidos a fazer devido à ignorância.
A_Ilha;Se tiver que escolher entre uma história contada por um idiota ou por um calvinista, a minha preferência sempre recairá no idiota.
A_Ilha;O que mais nos fascina no universo é a sua selvagem improbabilidade.
A_Ilha;Os povos são ao mesmo tempo os beneficiários e as vítimas das suas próprias culturas.
A_Ilha;Almofadas de espuma para traseiros de espuma.
A_Ilha;No fundo, todos vocês não passam de platônicos que adoram as palavras e detestam os fatos.
A_Ilha;Deixem de ser o que ignorantemente pensam ser e se transformem no que realmente são.
A_Insustentável_Leveza_do_Ser;Não existe meio de verificar qual é a boa decisão, pois não existe termo de comparação. Tudo é vivido pela primeira vez e sem preparação. Como se um ator entrasse em cena sem nunca ter ensaiado. Mas o que pode valer a vida, se o primeiro ensaio da vida já é a própria vida? É isso que faz com que a vida pareça sempre um esboço. No entanto, mesmo 'esboço' não é a palavra certa porque um esboço é sempre um projeto de alguma coisa, a preparação de um quadro, ao passo que o esboço que é a nossa vida não é o esboço de nada, é um esboço sem quadro.
A_Lista_de_Schindler;[Para Stern, ao fechar o negócio da fábrica] Meu pai foi amigo em dizer que você precisa de três coisas na vida: um bom médico, um padre perdoador, e um hábil contador. Os primeiros dois, eu nunca precisei muito, mas o terceiro...
A_Lista_de_Schindler;Eles não irão esquecer logo o nome 'Oskar Schindler' por aqui. 'Oskar Schindler', eles dirão, 'todo mundo se lembra dele. Ele fez algo extraordinário. Ele fez o que nenhum outro fez. Ele chegou com nada, uma mala, e transformou uma companhia falida em uma indústria importante. E partiu com um navio a vapor, dois navios a vapor, de dinheiro. Todas as riquezas do mundo.'
A_Lista_de_Schindler;O que você está fazendo? Elas são minhas. Elas são minhas trabalhadoras. Elas devem estar no meu trem. Elas são habilidosas produtoras de munição. Elas são essenciais. Meninas essenciais! [mostra para o guarda a mão de Danka Dresner] Os dedos delas lustram o interior de granadas de metal. Como mais eu poderia polir o interior de uma granada de 45 milímetros. Me diga. Me diga!
A_Lista_de_Schindler;"[Se dirigindo para os seus trabalhadores no fim da guerra] A rendição incondicional da Alemanha acaba de ser anunciada. À meia-noite de hoje, a guerra está acabada. Amanhã vocês iniciarão o processo de busca por sobreviventes de suas famílias. Na maioria dos casos, vocês não irão encontrá-los. Após seis longos anos de assassinatos, vítimas são lamentadas por todo o mundo. Nós sobrevivemos. Alguns de vocês vêm até mim para me agradecer. Agradeçam à vocês mesmos, ao seu destemido Stern, e outros entre vocês que se preocuparam com vocês e enfrentaram a morte a todo momento. Eu sou um membro do Partido Nazista. Eu sou um fabricante de armas. Eu sou um beneficiário de trabalho escravo. Eu sou um... criminoso. À meia-noite, vocês estarão livres e eu estarei sendo caçado. Eu devo permanecer com vocês até cinco minutos depois da meia-noite, depois desse tempo - e eu espero que vocês me perdoem - eu terei que fugir. [Ele se dirige para os guardas SS da fábrica] Eu sei que vocês receberam ordens de seu comandante, que as recebeu de seus superiores, para matar a população deste campo. Agora é a hora para fazer isto. Aqui estão eles. Eles estão todos aqui. Esta é a sua oportunidade. Ou, vocês podem partir, e retornar para suas famílias como homens ao invés de assassinos. [Os guardas gradualmente saem; ele se dirige novamente para os trabalhadores] Em memória das incontáveis vítimas entre o seu povo, eu peço para fazermos três minutos de silêncio."
A_Lista_de_Schindler;Eles lançam um feitiço em você, você sabe, os judeus. Quando você trabalha perto deles, como eu, você vê isso. Eles têm esse poder. É como um vírus. Alguns de meus homens estão infectados com esse vírus. Eles devem ser perdoados, não punidos. Eles devem receber tratamento, por que isso é tão real quanto o tifo. Eu vejo isso o tempo todo. É um problema de dinheiro? Hmm?
A_Lista_de_Schindler;A verdade é sempre a resposta certa.
A_Lista_de_Schindler;Isto é muito cruel, Oskar. Você está dando esperança para eles. Você não deveria fazer isso. Isso é cruel!
A_Lista_de_Schindler;O dia de hoje é histórico. O dia de hoje será lembrado. Anos mais tarde os jovens perguntarão maravilhados sobre este dia. O dia de hoje é histórico e vocês são parte dele. Seis séculos atrás quando em outros lugares eles procuravam os culpados pela Peste Negra, Kazimirz o Grande - então chamado - disse aos judeus que eles poderiam vir para Cracóvia. Eles vieram. Eles trouxeram os seus pertences para a cidade. Eles se estabeleceram. Eles prosperaram nos negócios, ciência, educação, as artes. Com nada eles vieram e com nada eles floresceram. Por seis séculos houve uma Cracóvia judia. Mas esta noite estes seis séculos serão um rumor. Eles nunca aconteceram. O dia de hoje é histórico.
A_Lista_de_Schindler;Uma de vocês é uma garota de muita sorte. Há uma vaga em aberto pra um trabalho longe de todo esse trabalho pesado, na minha nova casa de campo. Umm, qual de vocês tem experiência doméstica? Ja, se bem que, eu realmente não quero outra empregada. Todos aqueles hábitos importunos que eu teria que suportar.
A_Lista_de_Schindler;Esta lista... é um bem absoluto. A lista é vida. Tudo ao redor de suas margens é um precipício.
A_Lista_de_Schindler;É Hebraico, é do Talmude. Ele diz: 'Quem salva uma vida, salva o mundo inteiro.'
A_Lista_de_Schindler;Haverá gerações graças ao que você fez.
A_Mansão_Foster_Para_Amigos_Imaginários;Mac, seu irmão... é um grande... e gordo... idiota!
A_Mansão_Foster_Para_Amigos_Imaginários;Espera, para, eu só quero bater em você!
A_Mansão_Foster_Para_Amigos_Imaginários;Não, você que é bobo!
A_Mansão_Foster_Para_Amigos_Imaginários;Calada, calada, calada, calada, calda, calada, calada, calada, calada!
A_Mansão_Foster_Para_Amigos_Imaginários;Mas Mac, eu amo aipo!
A_Mansão_Foster_Para_Amigos_Imaginários;Ei olha, é o cara da pizza! Oi cara da pizza! Estamos muito alto e você parece uma formiga!
A_Mansão_Foster_Para_Amigos_Imaginários;Você marca do lado da pessoa que não quer que ganhe.
A_Mansão_Foster_Para_Amigos_Imaginários;Tá calor em Topeeka!
A_Mansão_Foster_Para_Amigos_Imaginários;Que tipo de piscina não tem tubarões?
A_Mansão_Foster_Para_Amigos_Imaginários;Eu sou o cara mais legal da casa.
A_Mansão_Foster_Para_Amigos_Imaginários;Não culpe a mim Mac, culpe ao sistema capitalista.
A_Mansão_Foster_Para_Amigos_Imaginários;Sabe, seria chato se trazessem uma equipe de busca.
A_Mansão_Foster_Para_Amigos_Imaginários;Não provoca, ele está louco!
A_Mansão_Foster_Para_Amigos_Imaginários;Blu bobo, você estragou tudo!
A_Mansão_Foster_Para_Amigos_Imaginários;Talvez você tenha razão, Blu. Eu sou um nerd!
A_Mansão_Foster_Para_Amigos_Imaginários;Blu, pára! Ele é legal!
A_Mansão_Foster_Para_Amigos_Imaginários;Em falar em maldade, tem alguma mostro aqui?
A_Mansão_Foster_Para_Amigos_Imaginários;Você é louco!
A_Mansão_Foster_Para_Amigos_Imaginários;Ai meu Deus!
A_Mansão_Foster_Para_Amigos_Imaginários;Seu nome... é... Goo?
A_Rede_Social;Um tipo que faz uma cadeira boa não deve dinheiro a toda a gente que já fez uma cadeira.
A_Rede_Social;As pessoas querem ir online e ver os amigos delas, por isso porque não construir um site que lhes ofereça isso? Estou a dizer pegar em toda a experiência social da faculdade e coloca-la online.
A_Rede_Social;Estou um pouco embriagado, não vou mentir. E daí se não são nem 10h e é Terça à noite?
A_Rede_Social;Quanto às acusações de quebra de segurança, acredito que mereço reconhecimento desta bancada.
A_Rede_Social;Status de Relacionamento, Interessado em. É isso o que move a vida na faculdade. Você está transando ou não. É por isso que as pessoas cursam certas aulas, sentam onde sentam, e fazem o que fazem... E, em seu epicentro, sabe? É sobre isso que o theFacebook vai ser. As pessoas vão se registrar porque depois de toda conversinha na balada, há uma chance real deles... Conhecerem uma garota. Sim.
A_Rede_Social;Eles me abordaram com uma ideia, eu tive uma melhor.
A_Rede_Social;Um homem com um mestrado em administração de empresas em Stanford chamado Roy Raymond quer comprar alguma lingerie para a mulher, mas tem vergonha de a comprar numa loja. Ele tem a ideia de criar um sítio sofisticado que não nos faz sentir uns tarados. Faz um empréstimo de 40 000$, pede outros 40 000$ emprestados aos sogros, abre uma loja e chama-lhe Victoria's Secret. Ganha meio milhão de dólares no primeiro ano. Começa um catálogo, abre mais três lojas e cinco anos depois vende a empresa ao Leslie Wexner e à Limited por quatro milhões de dólares. É um final feliz, certo? Só que dois anos depois, a empresa vale 500 milhões de dólares e o Roy Raymond atira-se da Ponte Golden Gate. O coitado só queria comprar um par de ligas à mulher.
A_Rede_Social;Quer saber o que eu li sobre você? Nada.
A_Rede_Social;É a vida na NFL.
A_Rede_Social;Bem, é isso, por hoje é só, pessoal. Então eu quero ver todo mundo aqui pronto pra uma festa. Vamos chegar no clube como se fosse o desfile da Macy's.
A_Rede_Social;[a Eduardo] Eu quase esqueci, aqui estão seus U$ 19,000. Mas eu não descontaria, eu depositei na conta que você cancelou.
A_Rede_Social;Tirem o the. Só Facebook. Fica mais limpo.
A_Rede_Social;[a Mark] Deves ser uma pessoa de sucesso com os computadores, mas vais viver a vida a pensar que as mulheres não gostam de ti por seres um totó. Quero que saibas, do fundo do meu coração, que não vai ser verdade. Vai ser porque és um imbecil.
A_Rede_Social;A Internet não está escrita com lápis, Mark, é com tinta.
A_Rede_Social;Perdão se não está suficientemente impressionado com a minha educação.
A_Rede_Social;Peixes não comem outros peixes? Os marlins e as trutas!
A_Rede_Social;É melhor procurar um advogado, babaca, porque eu não vou voltar pelos 30%. Vou voltar pra levar tudo!
A_Rede_Social;Se algo estiver errado, se qualquer coisa um dia estiver errado... Você pode me avisar. Eu sou o cara que quer ajudar. Esse é o nosso projeto. Tem alguma coisa que queira me contar?
A_Rede_Social;Como você consegue fazer isso, de todas as garotas nos odiarem?
A_Rede_Social;Eu só queria que ele me dissesse mais umas vezes como a corrida foi acirrada. Brutal. Brutalmente acirrada. Excruciantemente acirrada. Nunca vi uma corrida tão excruciantemente... Jesus!
A_República;Devemos aprender durante toda a vida, sem imaginar que a sabedoria vem com a velhice.
A_República;O belo é o esplendor da verdade.
A_República;Devemos seguir sempre o caminho que conduz ao mais alto.
A_República;A sabedoria consiste em ordenar bem a nossa própria alma.
A_República;Lembrai-vos que é necessário a benevolência dos homens para o sucesso dos negócios.
A_República;Só os mortos poderão ver o fim da guerra.
A_República;O que mais importa não é viver, mas viver bem.
A_República;Vencer a si próprio é a maior das vitórias.
A_República;De todos os animais selvagens, o menino é o mais incontrolável.
A_República;"O sábio fala porque tem alguma coisa a dizer; o tolo, porque tem que dizer alguma coisa."
A_República;O começo é a parte mais difícil do trabalho.
A_República;Mau, com efeito, é o amante vulgar que prefere o corpo ao espírito, pois o seu amor não é duradouro por não se dirigir a um objeto que perdure. A flor do corpo que ama vem um dia a murchar – e então ele ‘se retira ligeiro como as asas’ esquecendo-se das declarações e muitas juras que fez.
A_República;As almas dos homens, antes de terem caído neste sepulcro que é o corpo, conseguiram vislumbrar – umas mais de perto, outras de maneira menos precisa – a Pureza, a Justiça, a Sabedoria. Decaíram, corromperam-se, encheram-se de vícios ao se ligarem com o corpo. Guardam todavia uma tênue recordação do que antes contemplaram e tendem, sempre, para aquela perfeição que um dia contemplaram.
A_República;A necessidade é a mãe de toda invenção.
A_República;"Podemos facilmente perdoar uma criança que tem medo do escuro; a real tragédia da vida é quando os homens têm medo da luz."
A_República;Amor: uma perigosa doença mental.
A_República;O tempo é a imagem móvel da eternidade imóvel.
A_República;Aquele que melhor se conhece a si mesmo é o que menos se exalta.
A_República;Cometer injustiças é pior que sofrê-las.
A_República;Deus é verdade, e a luz é a sua sombra.
A_Song_Flung_Up_to_Heaven;Este novo livro é como ter uma conversa inspiradora — daquela que você pode ter com um estranho sábio e confortável sentado ao seu lado em uma longa viagem de ônibus.
A_Torre_Negra;O homem de preto fugia pelo deserto e o pistoleiro ia atrás.
A_Torre_Negra;Não gosto de pessoas. Elas me ferraram.
A_Torre_Negra;Há outros mundos, pistoleiro, e outros demônios. Essas águas são profundas. Fique atento aos portais. Fique atento às rosas e aos portais ausentes.
A_Torre_Negra;O garoto é a sua porta para o homem de preto. O homem de preto é sua porta para os três. E os três são seu caminho para a Torre Negra.
A_Torre_Negra;Vá então. Há outros mundos além deste.
A_Torre_Negra;Então renegue. Livre-se de todos os pensamentos sobre a Torre. Siga seu caminho, pistoleiro, e dê início à longa tarefa de salvar sua alma.
A_Torre_Negra;Só iguais falam a verdade. Amigos e amantes mentem sem parar, presos na teia do respeito.
A_Viagem_ao_Centro_da_Terra;A ondulação deste número infinito de montanhas, cujos cumes nevados os fazem parecer como que cobertas por espuma, trouxe a minha lembrança a superfície de um oceano sendo espancado por uma tempestade. Se olhei para o oeste, o oceano exibia-se diante de mim em toda a sua majestosa grandeza, uma continuação de certo modo, um destes lanosos topos. Onde a terra terminava e o mar começava era impossível para o olho distinguir.
A_Viagem_do_Peregrino_da_Alvorada;Quase todos nós temos um país secreto, que, para a maioria, é apenas um país imaginário.
A_Viagem_do_Peregrino_da_Alvorada;A nossa história começa numa tarde em que Edmundo e Lúcia aproveitavam juntos alguns minutos preciosos. Como é óbvio, falavam de Nárnia...
A_Viagem_do_Peregrino_da_Alvorada;A proa era dourada e tinha o formato de uma cabeça de dragão de boca escancarada. Tinha apenas um mastro e uma grande vela quadrada de um vivo tom de púrpura. As laterais do barco, só visíveis onde terminavam as asas do dragão, eram verdes. Estava exatamente na crista de uma grande onda azul, e o côncavo da vaga mais próxima, franjada de espumas e salpicos, parecia vir para cima da gente.
A_Viagem_do_Peregrino_da_Alvorada;"Tudo no quadro estava em movimento. Não era como no cinema, não: as cores eram muito mais reais e vivas, como ao ar livre. A proa do navio afundava e tornava a subir nas ondas com uma grande franja de espuma. Quando uma onda ergueu o navio atrás, viu-se pela primeira vez a popa e o convés, que desapareceram logo no bojo da onda seguinte. Nesse mesmo instante, um caderno, que estava caído sobre a cama de Edmundo, começou a virar as folhas e foi levado pelo ar, batendo na parede; o cabelo de Lúcia enrolou-se em torno do rosto, como num dia de vento. Era um dia de vento, mas o vento soprava do quadro. De súbito, com o vento, vieram os barulhos..."
A_Viagem_do_Peregrino_da_Alvorada;O tempo em Nárnia não corre como em nosso mundo. Mesmo que passemos cem anos em Nárnia, voltamos ao nosso mundo exatamente no
A_Viagem_do_Peregrino_da_Alvorada;Jurei que se um dia estabelecesse a paz em Nárnia navegaria durante um ano para encontrar os amigos de meu pai, ou ter a certeza da morte deles e vingá-los caso pudesse. Seus nomes eram lorde Revilian, lorde Bern, lorde Argos, lorde Mavramorn, lorde Octasiano, lorde Restimar e Lorde Rupe.
A_Viagem_do_Peregrino_da_Alvorada;Por que não haveríamos de chegar ao extremo oriental do mundo? Que poderíamos encontrar lá? Espero encontrar o próprio país de Aslam! É sempre do Oriente, através do mar, que o Grande Leão vem encontrar-se conosco.
A_Viagem_do_Peregrino_da_Alvorada;Onde o céu e o mar se encontram,
A_Viagem_do_Peregrino_da_Alvorada;"Vim parar aqui [na ilha de Avra] com os meus seis companheiros, gostei de uma moça destas ilhas e cheguei à conclusão de que havia andado muito tempo pelo mar. Enquanto seu tio estivesse no governo não seria possível voltar a Nárnia; assim, casei-me e aqui tenho vivido desde então."
A_Viagem_do_Peregrino_da_Alvorada;O tráfico não traz para a ilha carne, pão, cerveja, vinho, madeira, couve, livros, instrumentos musicais, armaduras ou qualquer outra coisa. Mas, mesmo que trouxesse, não pode ria continuar.
A_Viagem_do_Peregrino_da_Alvorada;Têm rostos escuros e longas barbas. Usam vestes amplas e turbantes cor-de-laranja e são um povo sábio, rico, cortês, cruel e antigo.
A_Viagem_do_Peregrino_da_Alvorada;Muitos pensavam que, se navegassem demasiado para oeste, chegariam às ondas de um mar sem terras que rodava perpetuamente em torno da crosta do mundo.
A_Viagem_do_Peregrino_da_Alvorada;De repente, esquecia-se de que estava jogando xadrez, julgando-se em um combate real, obrigando o cavaleiro a proceder como ele faria se estivesse no seu lugar. Pois tinha o espírito cheio de arrebatamentos de outros tempos, de missões de morte ou glória, de decisões heróicas.
A_Viagem_do_Peregrino_da_Alvorada;Fomos arrastados por um furacão treze dias e treze noites...
A_Viagem_do_Peregrino_da_Alvorada;Tinha se transformado num dragão enquanto dormia. Ao dormir sobre o tesouro de um dragão, com pensamentos gananciosos, típicos de um dragão, ele próprio acabara se transformando em dragão.
A_Viagem_do_Peregrino_da_Alvorada;Chegou à conclusão de que era um monstro, separado do resto da humanidade. Caiu sobre ele uma tristeza tremenda...
A_Viagem_do_Peregrino_da_Alvorada;O prazer (absolutamente inédito) de gostarem dele e, ainda mais, de ele gostar dos outros impedia que caísse no desespero. Porque era horrível ser dragão. Estremecia sempre que, ao voar, se via refletido num lago. Odiava as enormes asas de morcego, o dorso denteado e as ferozes garras recurvadas. Tinha quase medo de ficar sozinho e, ao mesmo tempo, envergonhavase de estar acompanhado. A noite, quando não servia de saco de água quente, escapava do acampamento e deitava-se como uma serpente entre o bosque e a água.
A_Viagem_do_Peregrino_da_Alvorada;Olhei e vi a última coisa que esperava ver: um enorme leão avançando para mim. E era estranho porque, apesar de não haver lua, por onde o leão passava havia luar.
A_Viagem_do_Peregrino_da_Alvorada;Ilha do Dragão - Descoberta por Caspian X, rei de Nárnia, no quarto ano do seu reinado.
A_Viagem_do_Peregrino_da_Alvorada;Toda verde e vermelha, com manchas purpurinas, exceto nos lugares a que se agarravam mariscos, e tinha o feitio da cabeça de um cavalo, mas sem orelhas. Os olhos eram enormes, feitos para enxergar nas profundezas escuras do oceano, e na boca escancarada alinhava-se uma dupla fileira de dentes, afiados como os dos peixes. A princípio, pareceu-lhes que a cabeça se apoiava num comprido pescoço, mas, à medida que emergia das águas, compreenderam todos que não era o pescoço, mas o próprio corpo... As curvas da sua gigantesca cauda estendiam-se a uma grande distância, elevando-se, com intervalos, da superfície do mar.
A_mediadora;- OK - fui dizendo para aquela presença no assento da janela. - Quem diabos é você?
A_mediadora;Suze: Esticou as canelas. Dobrou o Cabo da Boa Esperança. Foi desta para melhor. Morreu!
A_mediadora;Jesse: Boa noite, hermosa.
A_mediadora;Debbie (vendo Suze entrar na sala e sentar-se ao lado de Cee Cee): Caramba, foi logo sentar perto da esquisita!
A_mediadora;Suze: Estou falando do que nós, mediadores, fazemos como último recurso.
A_mediadora;Adam: Alguma coisa deve ter nessa história de ser padre. Talvez eu devesse me candidatar.
A_mediadora;Adam: Mas aqueles caras todos da equipe de luta-livre, eles realmente são de dar medo. E têm tanta raiva de gays... que dá para desconfiar de suas preferências sexuais. Eles todos pensam que eu sou gay, mas não sou exatamente eu que fico metido num colante agarrando as coxas de outros caras.
A_mediadora;Jesse: Você não é chata.
A_mediadora;Michael: Eu realmente gosto de você, e se você concordar em sair comigo nesta sexta à noite, eu mostro que não sou o covarde manhoso que fiquei parecendo ser até agora no nosso relacionamento. Eu ja pedi ao seu pai. E ele disse que tudo bem, desde que você estivesse de volta antes das onzes.
A_mediadora;Kelly (lendo sua conclusão de trabalho): Os-Estados-Unidos-precisam-gastar-muito-mais-dinheiro-incrementando-seu-aparato-militar-porque-ficamos-atrasados-com-relação-aos-chineses-e-eles-podem-nos-atancar-quando-quiserem-obrigada.
A_mediadora;Cee Cee (vendo Michael que tirou a camisa): Mas aquilo... aquilo... Aquilo desafia toda a lógica.
A_mediadora;Puxa, eu já havia quase morrido naquela tarde. O teorema de pitágoras nem parecia ameaçador, em comparação.
A_mediadora;O padre Dominic olhou preocupado para Jesse.
